_1,_2,_3,_4
2005,11,4,60.0
1998,1,2,207.0
2015,3,6,90.0
2007,9,5,148.0
2014,12,6,95.0
1998,1,4,134.0
2019,7,1,393.0
2009,11,3,73.0
2000,2,1,75.0
2004,2,6,75.0
1996,10,5,161.0
2007,4,3,160.0
2020,1,4,138.0
2009,5,7,138.0
2012,1,3,118.0
2007,12,6,258.0
2002,6,7,100.0
2017,1,7,372.0
2008,2,7,240.0
1997,9,4,112.0
2009,12,3,208.0
2017,12,1,142.0
2010,2,6,137.0
2017,7,2,194.0
2019,12,6,143.0
2000,2,6,85.0
2004,4,6,106.0
2008,6,3,318.0
2018,7,3,153.0
2017,3,1,137.0
2015,2,6,223.0
2018,10,5,207.0
2018,7,6,192.0
1997,6,7,210.0
1999,8,3,132.0
2010,3,2,176.0
2015,11,3,185.0
2012,6,7,145.0
2012,7,2,207.0
2019,2,2,218.0
2018,4,3,137.0
2000,11,2,71.0
1998,2,2,205.0
2005,2,2,154.0
2005,6,2,135.0
2006,8,3,329.0
2003,11,3,235.0
1996,12,4,232.0
2018,3,7,110.0
2019,10,4,375.0
2011,9,1,108.0
2017,8,5,179.0
2003,2,3,118.0
2014,7,4,310.0
1996,1,7,119.0
1999,10,3,149.0
2008,8,3,137.0
2007,7,6,136.0
2018,11,3,83.0
2004,11,4,122.0
2008,7,4,298.0
2012,6,5,253.0
2010,4,7,215.0
2011,11,1,147.0
2014,11,4,71.0
2016,7,6,277.0
2005,5,4,164.0
2002,4,5,96.0
2017,7,3,251.0
2019,9,1,240.0
1997,1,5,232.0
2004,7,3,383.0
2002,6,6,77.0
2018,7,5,211.0
2015,6,3,276.0
2003,9,5,68.0
2020,8,7,245.0
2009,10,6,125.0
2005,6,1,263.0
1996,2,2,246.0
1999,1,4,254.0
2015,11,5,77.0
2015,8,1,336.0
2006,11,6,43.0
2010,7,1,231.0
1996,9,5,137.0
1998,3,3,105.0
2001,4,3,121.0
2005,7,2,253.0
2014,5,7,181.0
2000,1,1,213.0
2006,1,5,172.0
2012,9,3,101.0
1998,11,7,131.0
2009,12,4,256.0
2010,7,7,211.0
2015,12,7,257.0
1997,4,7,108.0
2009,11,1,146.0
2015,3,1,203.0
2001,12,7,123.0
2004,7,4,216.0
2019,10,6,67.0
2018,4,6,177.0
2013,10,2,74.0
2002,5,7,65.0
1999,11,5,63.0
2007,3,1,111.0
2015,6,6,244.0
2005,5,6,77.0
2017,6,5,271.0
2019,1,2,239.0
2018,7,7,354.0
2001,8,6,253.0
2010,11,4,72.0
2020,9,4,58.0
2013,3,2,91.0
2018,6,4,392.0
2000,7,7,255.0
2014,6,2,246.0
2019,1,7,205.0
2010,2,7,121.0
2016,8,4,181.0
2020,6,4,44.0
2010,8,7,260.0
2002,11,3,37.0
1998,11,6,45.0
1997,11,7,116.0
2000,5,3,241.0
2009,6,2,380.0
2013,3,6,164.0
2007,7,5,175.0
2017,2,7,92.0
2020,2,2,136.0
2020,6,7,44.0
2012,11,7,117.0
2005,8,1,358.0
1997,11,1,45.0
2012,10,7,105.0
2006,3,4,182.0
2017,7,4,176.0
1997,4,1,77.0
2005,4,2,96.0
2001,2,3,262.0
2015,10,4,179.0
2000,12,3,160.0
2015,6,2,354.0
2000,4,4,111.0
2003,7,2,269.0
2005,11,6,87.0
2007,1,1,158.0
2008,6,1,223.0
2012,11,1,106.0
2001,11,1,169.0
2003,8,5,338.0
1996,7,1,219.0
1996,11,7,132.0
2011,8,2,219.0
2015,7,3,278.0
2020,9,7,56.0
2000,7,6,146.0
1996,8,6,165.0
2019,6,5,316.0
1997,3,7,109.0
1998,10,5,229.0
2007,4,4,105.0
2011,7,7,242.0
2011,9,6,87.0
2001,3,3,170.0
2004,1,5,176.0
2013,2,5,75.0
1998,9,4,62.0
2001,7,3,143.0
1997,10,5,105.0
1998,4,1,120.0
2003,11,7,126.0
2016,4,1,86.0
2014,3,1,117.0
2017,1,6,206.0
2018,2,5,180.0
2001,1,3,158.0
2004,5,3,172.0
2002,5,4,89.0
2003,10,7,213.0
2020,7,1,169.0
1996,11,1,95.0
1999,4,5,210.0
1999,6,7,190.0
2007,5,3,296.0
2007,7,3,302.0
2010,12,7,272.0
2014,12,3,180.0
1997,5,2,86.0
1997,5,7,126.0
2013,9,7,117.0
2009,4,4,279.0
2010,4,2,110.0
2017,10,4,84.0
2012,2,7,64.0
2015,9,7,64.0
2013,4,3,291.0
2017,8,1,177.0
1996,12,1,262.0
2019,1,1,183.0
2020,4,5,56.0
1999,4,2,59.0
2001,5,2,161.0
2011,5,1,270.0
2003,2,4,131.0
2008,11,6,108.0
2019,8,1,218.0
1998,7,1,127.0
2003,2,1,176.0
2020,4,7,39.0
1998,1,7,215.0
2001,8,1,241.0
2006,2,4,205.0
2000,6,3,314.0
2014,4,6,43.0
2003,11,5,112.0
2011,10,5,65.0
2016,11,3,150.0
2016,8,5,338.0
2013,6,4,319.0
2016,3,2,208.0
2018,1,7,464.0
2014,7,5,128.0
2018,4,1,237.0
2002,3,6,213.0
2004,9,5,88.0
2013,6,3,294.0
2014,1,5,309.0
2019,11,1,146.0
2020,9,5,35.0
2014,10,6,52.0
1999,9,6,55.0
2013,2,4,120.0
2008,3,6,294.0
2001,11,3,66.0
2018,11,1,160.0
2018,11,6,107.0
1998,1,6,166.0
2019,8,5,303.0
2012,5,6,72.0
2009,6,1,222.0
2014,12,1,133.0
2001,12,3,113.0
2001,7,2,184.0
1999,6,5,279.0
2001,6,1,188.0
2004,3,5,193.0
2010,5,5,419.0
2014,3,4,107.0
2015,2,1,195.0
2011,10,7,98.0
2017,6,4,171.0
2018,8,7,204.0
2002,8,6,179.0
2006,9,3,94.0
2015,2,3,102.0
1997,7,7,133.0
1998,2,1,214.0
2013,10,7,107.0
2018,4,5,251.0
1996,1,2,351.0
1996,9,6,80.0
2010,11,3,84.0
1998,8,5,179.0
2013,9,6,140.0
2019,4,1,191.0
1998,5,2,102.0
2011,12,6,131.0
2006,4,3,88.0
2003,2,7,248.0
1998,5,4,100.0
2002,9,3,50.0
2004,5,4,313.0
2013,4,4,134.0
2006,5,5,168.0
2002,7,2,258.0
2019,4,6,202.0
1999,1,3,334.0
2019,1,6,134.0
1998,8,1,333.0
2013,7,3,204.0
2004,1,4,121.0
1997,1,1,259.0
2004,4,2,140.0
2007,5,1,147.0
2016,10,2,57.0
2017,1,5,139.0
2017,8,3,196.0
2009,2,3,141.0
2014,2,3,165.0
2000,3,5,147.0
2005,10,2,95.0
2005,8,3,143.0
2012,7,4,262.0
2018,3,1,128.0
2010,1,6,142.0
