_1,_2,_3,_4
2014,11,4,17679
2016,7,6,20539
2005,5,4,27622
2002,4,5,18485
2017,7,3,20460
2019,9,1,21772
1997,1,5,37853
2004,7,3,29731
2002,6,6,15968
2018,7,5,27848
2015,6,3,21660
2003,9,5,18218
2020,8,7,9158
2009,10,6,17494
2005,6,1,29711
1996,2,2,23315
1999,1,4,25688
2015,11,5,14981
2015,8,1,23231
2006,11,6,14933
2010,7,1,23445
1996,9,5,25085
1998,3,3,21232
2001,4,3,19843
2005,7,2,31321
2014,5,7,15074
2000,1,1,30375
2006,1,5,23334
2012,9,3,15732
1998,11,7,21173
2009,12,4,27619
2010,7,7,20206
2015,12,7,18186
1997,4,7,21854
2009,11,1,17093
2015,3,1,23783
2001,12,7,22151
2004,7,4,37633
2019,10,6,12044
2018,4,6,14650
2013,10,2,18141
2002,5,7,14782
1999,11,5,18636
2007,3,1,26937
2015,6,6,16783
2005,5,6,14206
2017,6,5,28449
2019,1,2,21810
2018,7,7,32825
2001,8,6,22373
2010,11,4,17246
2020,9,4,5976
2013,3,2,19835
2018,6,4,28386
2000,7,7,32454
2014,6,2,23999
2019,1,7,19457
2010,2,7,18106
2016,8,4,20965
2020,6,4,3518
2010,8,7,24249
2002,11,3,13246
1998,11,6,10711
1997,11,7,26745
2000,5,3,27614
2009,6,2,30894
2013,3,6,21996
2007,7,5,34678
2017,2,7,10832
2020,2,2,14033
2020,6,7,4243
2012,11,7,15300
2005,8,1,37143
1997,11,1,16295
2012,10,7,17634
2006,3,4,37714
2017,7,4,21839
1997,4,1,18783
2005,4,2,16623
2001,2,3,26289
2015,10,4,18730
2000,12,3,31820
2015,6,2,28549
2000,4,4,25426
2003,7,2,28746
2005,11,6,13171
2007,1,1,41840
2008,6,1,37827
2012,11,1,16569
2001,11,1,16952
2003,8,5,33827
1996,7,1,30660
1996,11,7,19458
2011,8,2,22933
2015,7,3,29004
2020,9,7,4215
2000,7,6,30112
1996,8,6,24692
2019,6,5,26893
1997,3,7,25934
1998,10,5,27855
2007,4,4,32404
2011,7,7,24100
2011,9,6,10321
2001,3,3,22135
2004,1,5,35989
2013,2,5,20893
1998,9,4,17158
2001,7,3,22404
1997,10,5,28648
1998,4,1,18333
2003,11,7,26359
2016,4,1,13645
2014,3,1,26505
2017,1,6,13456
2018,2,5,23118
2001,1,3,29386
2004,5,3,24096
2002,5,4,24422
2003,10,7,16737
2020,7,1,6788
1996,11,1,17565
1999,4,5,34141
1999,6,7,25966
2007,5,3,34721
2007,7,3,31049
2010,12,7,26506
2014,12,3,24815
1997,5,2,16977
1997,5,7,15400
2013,9,7,19404
2009,4,4,28459
2010,4,2,14959
2017,10,4,15184
2012,2,7,10606
2015,9,7,10795
2013,4,3,25217
2017,8,1,21870
1996,12,1,34250
2019,1,1,20367
2020,4,5,2082
1999,4,2,18705
2001,5,2,23291
2011,5,1,27005
2003,2,4,25181
2008,11,6,17826
2019,8,1,22045
1998,7,1,18895
2003,2,1,22430
2020,4,7,2065
1998,1,7,20485
2001,8,1,21800
2006,2,4,27036
2000,6,3,27405
2014,4,6,10576
2003,11,5,21073
2011,10,5,16655
2016,11,3,16702
2016,8,5,20621
2013,6,4,30087
2016,3,2,16819
2018,1,7,32722
2014,7,5,18984
2018,4,1,30405
2002,3,6,23727
2004,9,5,20646
2013,6,3,25228
2014,1,5,31214
2019,11,1,18161
2020,9,5,4893
2014,10,6,11598
1999,9,6,11265
2013,2,4,20837
2008,3,6,32336
2001,11,3,13644
2018,11,1,25660
2018,11,6,15431
1998,1,6,18200
2019,8,5,32140
2012,5,6,9337
2009,6,1,27955
2014,12,1,27711
2001,12,3,20985
2001,7,2,25727
1999,6,5,28841
2001,6,1,20130
2004,3,5,27168
2010,5,5,25920
2014,3,4,21624
2015,2,1,22394
2011,10,7,17201
2017,6,4,27435
2018,8,7,22539
2002,8,6,15489
2006,9,3,22687
2015,2,3,19161
1997,7,7,21831
1998,2,1,23164
2013,10,7,17435
2018,4,5,23456
1996,1,2,37038
1996,9,6,14070
2010,11,3,17979
1998,8,5,22813
2013,9,6,10889
2019,4,1,31721
1998,5,2,18980
2011,12,6,12528
2006,4,3,23706
2003,2,7,21487
1998,5,4,25986
2002,9,3,9830
2004,5,4,25835
2013,4,4,30083
2006,5,5,31909
2002,7,2,22050
2019,4,6,15731
1999,1,3,22858
2019,1,6,14313
1998,8,1,26151
2013,7,3,35603
2004,1,4,28665
1997,1,1,25301
2004,4,2,20002
2007,5,1,24574
2016,10,2,11250
2017,1,5,18594
2017,8,3,21219
2009,2,3,17981
2014,2,3,20122
2000,3,5,31399
2005,10,2,19709
2005,8,3,30414
2012,7,4,25663
2018,3,1,20862
2010,1,6,19908
2011,10,1,17879
2000,12,1,20399
2015,8,4,20990
2017,2,3,14244
2018,8,5,34735
2000,2,7,21828
2005,3,4,36363
2003,5,3,17343
2009,6,5,28715
2015,3,4,20685
2016,11,5,12561
2018,10,4,23346
2014,6,4,29138
2014,9,4,20073
1998,3,1,25710
2017,12,7,15449
2002,2,4,16823
2008,12,5,31069
2007,1,6,19744
2009,7,7,20683
2012,1,5,16011
2004,8,3,29402
2013,1,2,21222
2009,11,7,15930
2016,11,4,11428
2008,10,3,20299
2012,1,1,21790
2013,6,2,27353
2001,3,2,20891
2008,5,4,33884
2017,6,3,21455
2009,3,5,21950
2008,2,6,20523
1996,3,7,26485
2003,5,7,16537
2015,1,5,25761
2012,12,4,23553
2007,2,1,35258
2018,5,5,23353
2019,12,2,26136
1997,6,4,25568
2006,11,4,35959
2016,4,5,22833
1997,2,2,19541
1999,2,3,16252
2003,11,4,21976
2007,5,6,19214
2012,9,1,15152
2006,7,1,30955
2009,11,2,12321
2016,10,1,15893
2017,4,5,19198
2006,12,1,24121
2004,6,1,33969
2004,2,4,27810
2005,3,2,31179
2010,8,4,22944
2013,2,3,17122
2019,4,7,21793
2008,8,7,25166
2003,1,2,16015
2017,2,4,15836
2009,3,6,16884
2011,11,4,15019
2019,5,7,22199
1998,5,6,17712
2000,10,3,22131
2011,2,1,23774
2013,7,5,26546
1999,11,7,19024
1998,3,2,23470
2010,11,5,16229
2016,5,5,18138
2010,10,5,22728
1997,3,1,25612
2010,8,2,21881
2019,5,6,16493
2015,7,5,22518
2002,8,7,15156
2003,10,5,24055
2008,12,6,27169
2018,12,1,21183
1996,8,2,22719
2002,2,3,14595
1996,12,5,31734
1997,3,3,22002
2013,10,1,21838
2002,6,2,18754
2009,3,3,19458
2013,2,2,17614
1996,5,6,15706
1996,4,5,24215
2011,4,4,25840
1999,12,3,27348
2005,1,4,64628
2010,4,5,21114
2014,12,5,23471
2018,10,1,28244
2017,5,1,22856
2019,1,3,25802
2003,10,3,20783
2010,6,3,32246
2020,7,3,6885
2000,12,4,35218
2002,1,2,17139
2002,5,1,16674
2002,11,5,18404
2002,10,2,17261
2012,10,3,20669
2018,2,2,16762
2009,7,4,36498
2006,12,4,34866
2005,5,2,21256
2017,10,1,20988
2012,4,2,12927
2008,4,5,33589
2014,3,7,26724
2012,2,5,19845
2014,7,6,15992
2000,1,2,20375
2016,1,2,13315
2002,7,3,24056
1998,12,6,17380
2003,4,5,18817
2013,5,6,13251
2005,12,2,26169
2009,2,7,15744
